"IntId","StrBanco","IntTransaccion","IntDocumento","DatFecha","StrDocumento","IntNaturaleza","IntValor","IntConciliado","IdSeguridad"
143,"05","01",16885,2017-03-02 00:00:00.000,"0",1,98800.00000,0,A74F6CD4-14D0-42AE-8AF3-703FCE4C9979
144,"05","01",16886,2017-03-02 00:00:00.000,"0",1,104400.00000,0,"206F8600-880C-4B30-B636-757417216AB3"
145,"05","01",16889,2017-03-06 00:00:00.000,"0",1,98800.00000,0,"03EB400A-CCBE-4EF0-A833-6DD36825BE1D"
146,"05","01",16890,2017-03-06 00:00:00.000,"0",1,104400.00000,0,"8211C09E-4D72-42BA-B706-780E982DDB34"
147,"05","01",16891,2017-03-06 00:00:00.000,"0",1,104400.00000,0,F7669FF7-02F7-4A04-A4EA-E1BEA3443A5F
148,"05","01",16892,2017-03-06 00:00:00.000,"0",1,114900.00000,0,"21DA9818-81CE-49CC-9A75-649E97D41DCC"
149,"05","01",16893,2017-03-06 00:00:00.000,"0",1,100400.00000,0,C4108950-1D2A-4B67-978E-F84280FF3D82
150,"05","01",16894,2017-03-06 00:00:00.000,"0",1,107900.00000,0,"6C0BAEAA-2FD1-406E-A90C-E412F143B8B2"
151,"05","01",16895,2017-03-06 00:00:00.000,"0",1,104400.00000,0,"81B781A9-8850-484A-8E13-A848BC4A8632"
152,"05","01",16896,2017-03-06 00:00:00.000,"0",1,121900.00000,0,"044A4416-A972-48F5-A33D-5F31716C1F5E"
153,"05","01",16897,2017-03-06 00:00:00.000,"0",1,104400.00000,0,"5C5D6661-8C2A-49FA-B138-15FB9F509B1D"
154,"05","01",16898,2017-03-06 00:00:00.000,"0",1,104400.00000,0,"7993E866-3278-46E6-9B3C-ECB46ED54D0B"
155,"05","01",16899,2017-03-07 00:00:00.000,"0",1,113800.00000,0,"5BBA54B5-8FA5-480C-9026-F5B0F67F0ECD"
156,"05","01",16900,2017-03-07 00:00:00.000,"0",1,104400.00000,0,"7D097EEA-8BF8-4C3F-93EB-70F2E0C56F78"
